Vehicle ID,Time Spent (s),Timestamp
10,20.36,2025-04-05 04:59:03
6,55.20,2025-04-05 04:59:03
6,55.20,2025-04-05 04:59:03
2,60.54,2025-04-05 04:59:03
2,60.54,2025-04-05 04:59:03
12,12.54,2025-04-05 04:59:05
12,12.54,2025-04-05 04:59:05
10,22.45,2025-04-05 04:59:05
10,22.45,2025-04-05 04:59:05
6,57.29,2025-04-05 04:59:05
6,57.29,2025-04-05 04:59:05
2,62.63,2025-04-05 04:59:05
2,62.63,2025-04-05 04:59:05
12,14.49,2025-04-05 04:59:07
12,14.49,2025-04-05 04:59:07
10,24.41,2025-04-05 04:59:07
10,24.41,2025-04-05 04:59:07
6,59.25,2025-04-05 04:59:07
6,59.25,2025-04-05 04:59:07
2,64.58,2025-04-05 04:59:07
2,64.58,2025-04-05 04:59:07
12,16.51,2025-04-05 04:59:09
12,16.51,2025-04-05 04:59:09
10,26.42,2025-04-05 04:59:09
10,26.42,2025-04-05 04:59:09
6,61.26,2025-04-05 04:59:09
6,61.26,2025-04-05 04:59:09
2,66.60,2025-04-05 04:59:09
2,66.60,2025-04-05 04:59:09
12,18.57,2025-04-05 04:59:11
12,18.57,2025-04-05 04:59:11
10,28.49,2025-04-05 04:59:11
10,28.49,2025-04-05 04:59:11
6,63.33,2025-04-05 04:59:11
6,63.33,2025-04-05 04:59:11
2,68.67,2025-04-05 04:59:11
2,68.67,2025-04-05 04:59:11
12,21.00,2025-04-05 04:59:14
12,21.00,2025-04-05 04:59:14
10,30.92,2025-04-05 04:59:14
10,30.92,2025-04-05 04:59:14
6,65.76,2025-04-05 04:59:14
6,65.76,2025-04-05 04:59:14
2,71.10,2025-04-05 04:59:14
2,71.10,2025-04-05 04:59:14
12,22.99,2025-04-05 04:59:16
12,22.99,2025-04-05 04:59:16
10,32.91,2025-04-05 04:59:16
10,32.91,2025-04-05 04:59:16
6,67.75,2025-04-05 04:59:16
6,67.75,2025-04-05 04:59:16
2,73.09,2025-04-05 04:59:16
2,73.09,2025-04-05 04:59:16
12,24.93,2025-04-05 04:59:18
12,24.93,2025-04-05 04:59:18
10,34.84,2025-04-05 04:59:18
10,34.84,2025-04-05 04:59:18
6,69.68,2025-04-05 04:59:18
6,69.68,2025-04-05 04:59:18
2,75.02,2025-04-05 04:59:18
2,75.02,2025-04-05 04:59:18
12,27.03,2025-04-05 04:59:20
12,27.03,2025-04-05 04:59:20
10,36.95,2025-04-05 04:59:20
10,36.95,2025-04-05 04:59:20
6,71.79,2025-04-05 04:59:20
6,71.79,2025-04-05 04:59:20
2,77.13,2025-04-05 04:59:20
2,77.13,2025-04-05 04:59:20
12,29.12,2025-04-05 04:59:22
12,29.12,2025-04-05 04:59:22
10,39.03,2025-04-05 04:59:22
10,39.03,2025-04-05 04:59:22
6,73.87,2025-04-05 04:59:22
6,73.87,2025-04-05 04:59:22
2,79.21,2025-04-05 04:59:22
2,79.21,2025-04-05 04:59:22
12,30.89,2025-04-05 04:59:24
12,30.89,2025-04-05 04:59:24
10,40.80,2025-04-05 04:59:24
10,40.80,2025-04-05 04:59:24
6,75.64,2025-04-05 04:59:24
6,75.64,2025-04-05 04:59:24
2,80.98,2025-04-05 04:59:24
2,80.98,2025-04-05 04:59:24
12,32.70,2025-04-05 04:59:26
12,32.70,2025-04-05 04:59:26
10,42.61,2025-04-05 04:59:26
10,42.61,2025-04-05 04:59:26
6,77.45,2025-04-05 04:59:26
6,77.45,2025-04-05 04:59:26
2,82.79,2025-04-05 04:59:26
2,82.79,2025-04-05 04:59:26
12,34.51,2025-04-05 04:59:27
12,34.51,2025-04-05 04:59:27
10,44.43,2025-04-05 04:59:27
10,44.43,2025-04-05 04:59:27
6,79.27,2025-04-05 04:59:27
6,79.27,2025-04-05 04:59:27
2,84.61,2025-04-05 04:59:27
2,84.61,2025-04-05 04:59:27
12,36.29,2025-04-05 04:59:29
12,36.29,2025-04-05 04:59:29
10,46.20,2025-04-05 04:59:29
10,46.20,2025-04-05 04:59:29
2,86.38,2025-04-05 04:59:29
2,86.38,2025-04-05 04:59:29
12,37.65,2025-04-05 04:59:31
12,37.65,2025-04-05 04:59:31
10,47.56,2025-04-05 04:59:31
10,47.56,2025-04-05 04:59:31
2,87.74,2025-04-05 04:59:31
2,87.74,2025-04-05 04:59:31
12,38.97,2025-04-05 04:59:32
12,38.97,2025-04-05 04:59:32
10,48.88,2025-04-05 04:59:32
10,48.88,2025-04-05 04:59:32
2,89.06,2025-04-05 04:59:32
2,89.06,2025-04-05 04:59:32
12,40.34,2025-04-05 04:59:33
12,40.34,2025-04-05 04:59:33
10,50.25,2025-04-05 04:59:33
10,50.25,2025-04-05 04:59:33
6,85.10,2025-04-05 04:59:33
6,85.10,2025-04-05 04:59:33
2,90.43,2025-04-05 04:59:33
2,90.43,2025-04-05 04:59:33
12,42.07,2025-04-05 04:59:35
12,42.07,2025-04-05 04:59:35
10,51.98,2025-04-05 04:59:35
10,51.98,2025-04-05 04:59:35
6,86.83,2025-04-05 04:59:35
6,86.83,2025-04-05 04:59:35
2,92.16,2025-04-05 04:59:35
2,92.16,2025-04-05 04:59:35
12,43.92,2025-04-05 04:59:37
12,43.92,2025-04-05 04:59:37
10,53.83,2025-04-05 04:59:37
10,53.83,2025-04-05 04:59:37
6,88.67,2025-04-05 04:59:37
6,88.67,2025-04-05 04:59:37
2,94.01,2025-04-05 04:59:37
2,94.01,2025-04-05 04:59:37
12,45.73,2025-04-05 04:59:39
12,45.73,2025-04-05 04:59:39
10,55.64,2025-04-05 04:59:39
10,55.64,2025-04-05 04:59:39
6,90.48,2025-04-05 04:59:39
6,90.48,2025-04-05 04:59:39
2,95.82,2025-04-05 04:59:39
2,95.82,2025-04-05 04:59:39
